"Concept","Retro Inspiration","Never-Before Functionality"
"Photon Tape Messenger","Reel-to-reel tape machines","Encrypt/“record” messages physically, send tapes to friends for secure offline sharing"
"Calendar Marquee Wallboard","Cinema marquees, manual signboards","Interactive e-ink letters for schedule/alerts—change with click, slide, or voice"
"Electro-Desk Letter Sorter","1960s mailroom sorters","Automatically sorts paper mail/receipts and digitizes with built-in OCR scanner"
"Analog Selfie Booth","80s passport photo booths","Instantly prints photos with AI retro filters & QR code cloud backup"
"TubeGlow Mood Light","Lava lamp, plasma globe, neon","LED+liquid tube lamp syncs to music, weather, and biometrics with smart patterns"
"Soundboard Messenger Console","1950s operator desks, switchboards","Tactile keys for sending/receiving voice notes, direct peer-to-peer mic/speaker messages"
"Compact Disk+ (CD+) Data Wallet","MiniDisc/CD case","Stores memory chips like “music albums” for digital keepsakes, with e-ink album covers"
"Polaroid Memo-Toaster","Polaroid cameras, kitchen toasters","Prints edible QR code notes/messages onto slices of bread for fun reminders/snacks"
"Orbit Pen Plotter","1970s plotter, drafting tools","Robotic arm draws AI-generated mementos or daily planner in retro drafting style"
"Space-Age Pocket Geiger","Fallout meters, early science kits","Personal radiation/EM field detector with analog dials, Bluetooth logging and AR overlays"
"TV PingPong Arcade Dock","Pong consoles, 70s home consoles","Modern dock hooks phone to CRT-style mini TV for instant home arcade, physical paddles"
"Morse Vibro-Ring","WWII radio, Morse code keys","Wearable ring “taps” out encrypted buzz patterns for silent, private alerts/communication"
"Crystal Calling Card","Rotary phone card, punchcards","NFC glass “business card” stores encrypted contact for analog-digital sharing"
"Filament Notification Reel","Edison bulbs, ticker tapes","Illuminates wire filaments for each social notification, reveals analog progress of digital activity"
